oversamp	turnout	weight_ftf	source	vh12_source	vendorid	col0_abtid	cat.partyaffiliation	dispo	registration	prevote_reg	postvote_reg	regdate	e2012g	e2010g	e2008g	e2006g	namematch	cat.notatsample	birthyearmatch	vendorbirthyear	dobmatch	vendordob	cat.samezip9	cat.samestreet	cat.samezip5	cat.sametown	cat_voterstatus	vendor_num
NA	NA	NA	2	2	xxxxxxxxxxxxx	80067	NA	Other non-contact	1	NA	NA	19990000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20000000	0	1	1	1	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20040000	1	1	1	1	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80067	NA	Other non-contact	1	NA	NA	20070000	1	1	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	20000000	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20000000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	19950000	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20030000	1	1	1	1	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20090000	1	1	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20080000	0	1	1	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20030000	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	20080000	0	0	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20000000	1	1	1	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	19940000	0	0	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	19970000	1	1	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20020000	1	1	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20060000	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20060000	1	1	1	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	19960000	1	1	1	1	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	19960000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20050000	1	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	19990000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20040000	1	1	1	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20080000	1	1	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20040000	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20040000	1	1	1	1	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20020000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	19980000	1	1	1	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	40066	NA	Other non-contact	1	NA	NA	20040000	1	1	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	19970000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20080000	0	0	0	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	19980000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80067	NA	Other non-contact	1	NA	NA	19980000	1	1	1	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80067	NA	Other non-contact	1	NA	NA	19950000	0	1	0	1	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20060000	0	0	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	70060	NA	Other non-contact	1	NA	NA	20080000	0	0	1	0	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	70060	NA	Other non-contact	1	NA	NA	20080000	0	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20000000	1	1	1	1	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20100000	1	1	0	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	70060	NA	Other non-contact	1	NA	NA	20010000	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80067	NA	Other non-contact	1	NA	NA	20000000	0	0	1	0	0	NA	missing data	0	missing data	00/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80067	NA	Other non-contact	1	NA	NA	20010000	1	1	1	1	0	NA	missing data	0	missing data	00/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	19940000	1	1	1	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	20050000	0	0	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20030000	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	50060	NA	Other non-contact	1	NA	NA	20000000	0	1	1	0	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60062	NA	Other non-contact	1	NA	NA	20040000	1	0	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	60068	NA	Other non-contact	1	NA	NA	20010000	1	1	1	1	0	NA	missing data	0	missing data	0/0/00	NA	NA	NA	NA	NA	2
NA	NA	NA	2	2	xxxxxxxxxxxxx	80061	NA	Other non-contact	1	NA	NA	19990000	0	1	0	0	0	NA	missing data	0	missing data	0/00/00	NA	NA	NA	NA	NA	2
